,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
1,java,http,ssh,python,name,com,git,ive,info,jenkins,run,chef,strong,test,error,install,maven,file,lib,puppet,different,docker,php,server,deploy,using,name,service,machine,vagrant
2,org,port,debug,line,ansible,href,remote,tried,log,build,bin,default,example,tests,mysql,ubuntu,version,files,gems,etc,time,container,var,app,set,new,value,node,network,default
3,hudson,localhost,user,file,hosts,http,repository,work,slave,job,amp,run,environment,windows,blockquote,get,org,directory,ruby,file,best,image,nginx,web,capistrano,instance,class,name,host,config
4,run,server,key,openshift,host,https,repo,problem,master,project,usr,recipe,configuration,run,database,apt,plugin,data,vagrant,module,question,run,www,application,rails,create,string,kubernetes,virtual,box
5,apache,client,password,lib,task,rel,branch,doesnt,time,plugin,node,cookbook,using,program,failed,installed,jar,root,embedded,agent,solution,containers,apache,tomcat,shared,help,type,cloud,address,virtualbox
6,model,proxy,com,openstack,playbook,nofollow,github,fine,mesos,jobs,home,end,set,target,following,package,info,path,opt,main,multiple,compose,log,using,bundle,thanks,json,google,running,machine
7,lang,host,users,usr,group,github,push,works,process,workspace,command,client,first,project,try,version,apache,folder,rvm,modules,looking,registry,conf,domain,home,aws,new,cluster,android,guest
8,invoke,connection,username,packages,yml,stack,master,issue,status,builds,local,cookbooks,change,system,postgresql,update,sonar,dir,usr,exec,every,dockerfile,etc,running,end,able,get,api,link,end
9,util,connect,home,nova,tmp,src,changes,also,start,step,echo,resource,two,build,trying,sudo,project,copy,action,ensure,good,running,index,servers,env,trying,email,services,dev,network
10,sun,tcp,private,self,user,docs,commit,still,starting,script,npm,action,different,selenium,get,juju,artifactid,source,block,stage,currently,images,install,deployment,app,now,function,nodes,interface,provision
11,core,request,admin,site,TRUE,imgur,origin,cant,running,projects,bash,node,option,exe,message,installing,groupid,create,gem,ssl,better,redis,html,salt,production,created,public,mongodb,machines,provider
12,internal,api,keys,error,foo,png,clone,seems,memory,svn,install,solo,variables,ant,command,archive,xml,txt,call,var,single,volumes,dev,start,config,find,url,master,device,vagrantfile
13,plugins,get,login,dist,item,html,tag,running,cpp,display,script,info,variable,xml,getting,http,dependency,read,bin,class,something,command,settings,process,path,please,text,running,lxc,host
14,method,access,sha,django,tasks,img,using,working,pid,trigger,err,opt,now,files,password,linux,artifactory,delete,users,include,development,volume,location,deployed,releases,instances,object,pod,eth,homestead
15,execute,set,rsa,local,sudo,alt,url,however,logs,number,env,knife,question,command,postgres,installation,pom,permissions,net,puppetlabs,make,ports,composer,myapp,command,anyone,script,kube,linux,ssh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Java dependencies,external reference/connection,access issues,external dependencies,Ansible scripting,external references,repository managemnt,General,master slave connection issues,CI issues,Bash scripting,Chef scripting,environment configuration,Test artifacts,Databse connections,Linux package amnagemnt,Build artifacts,IO,Ruby issues,Puppet issues,Suggestions,Container technologies,Web service management,Web application deployment,,AWS instances,Values for variables,Cloud services,Device connections,Virtualization
