rabbitmq,12,4
radius,7,1
raid,891,1
reboot,430,4
redirect,94,1
redis,11,1
release-management,249,1
remote-access,266,5
remote-control,57,1
remote-desktop,519,1
remote-login,24,1
repository,806,14
resolution,1497,2
restart,297,2
root,1177,4
rootkit,47,1
router,173,1
routing,149,2
rpm,52,1
rsync,330,2
ruby,365,19
ruby-on-rails,27,2
rvm,76,2
samba,1319,1
sata,90,1
scaling,45,1
scp,91,1
screen,3306,5
sd-card,325,1
sdk,548,1
search,368,1
security,1306,8
sed,234,1
server,7861,136
session,466,1
sftp,344,1
shutdown,1191,10
skype,953,1
smtp,93,2
solaris,8,1
solr,20,1
sqlite,60,1
ssd,1010,4
ssh,2685,50
ssh-agent,40,1
ssl,377,4
startup,1236,3
steam,851,1
storage,287,3
su,5157,19
subnet,4,1
sudo,1490,13
suspend,1476,1
swap,639,3
sync,1035,3
system,7539,21
system-tray,170,1
systemd,227,2
sysv,12,1
tcsh,16,2
testing,76,2
text,878,2
text-processing,209,1
themes,1391,3
time,690,2
tmux,90,2
tomcat,208,4
tomcat7,69,3
touchscreen,329,1
tty,410,3
tunnel,67,1
ubuntu-touch,2199,1
uefi,2137,2
ufw,230,9
unicode,121,1
uninstall,1534,2
updates,3321,11
upgrade,4589,15
upstart,650,18
usb,6880,4
usb-drive,856,1
user-management,155,1
vagrant,104,102
valgrind,6,1
vdi,39,1
versions,309,2
video,2283,1
vim,505,2
virtual,3886,114
virtualbox,2817,84
virtualenv,43,2
virtualhost,124,1
virtualization,886,36
visudo,37,2
vmware,1039,14
vmware-workstation,85,1
vnc,471,3
voip,68,1
vpn,1100,3
wakeup,67,1
webserver,377,1
wget,237,3
windows,7795,3
windows-7,2300,1
windows-8,1704,1
wine,2347,1
wireless,8124,14
wordpress,146,3
x11-forwarding,45,2
xampp,238,14
xen,107,3
xfce,1095,2
xorg,2366,5
xrandr,337,1
xubuntu,2772,4
zenity,63,1
zfs,98,1
zsh,113,1
