node.js,190,8
nohup,44,1
notepad++,1357,3
nslookup,39,1
ntfs,1360,2
ntp,182,2
odoo,4,1
ole,666,4
onedrive,391,1
openldap,50,1
openpgp,34,1
openssh,410,3
openstack,39,35
openvpn,789,6
oracle,212,2
osx,19181,71
osx-lion,1193,1
osx-mountain-lion,640,2
osx-server,101,1
osx-snow-leopard,1641,4
osx-yosemite,486,4
packages,220,2
packer,12,5
parallel-processing,64,1
parallels,218,1
partitioning,4257,2
passenger,23,3
passwd,42,2
password-protection,117,2
passwords,1467,6
path,780,4
pdf,2455,1
pecl,19,1
performance,2916,10
perl,585,2
permissions,3045,20
php,1541,10
phpmyadmin,136,1
pid,238,2
ping,1324,4
pip,644,4
pipe,283,1
plex,138,1
plist,121,2
plugins,566,2
port,3903,22
ports,376,2
posix,49,1
postfix,308,3
postgresql,286,5
powershell,1538,10
powershell-ise,18,1
privacy,478,1
private-key,60,1
privileges,183,1
process,1353,3
proftpd,30,1
proxy,1893,16
psexec,72,2
public-key,150,1
puppet,63,62
putty,1042,10
python,1349,12
qa,10,2
qemu,184,4
quota,44,1
ramdisk,139,1
raspberry-pi,670,2
raspbian,109,1
rds,1655,8
readline,66,1
recovery,2883,4
redhat,567,10
redundancy,40,1
regex,904,2
remote-access,595,2
remote-assistance,43,1
remote-desktop,2423,3
rename,466,1
repository,162,2
resolution,1241,2
restore,889,2
reverse-proxy,64,3
rewrite,76,1
rhel,327,4
robocopy,198,1
root,623,3
rosetta-stone,10,1
router,6631,6
routing,1320,11
rpm,231,4
rsa,102,1
rsync,794,6
ruby,444,19
ruby-on-rails,139,8
rubygems,47,2
runlevel,37,2
rvm,74,3
samba,850,2
scp,543,3
screensaver,300,1
search,1700,1
security,3660,8
sed,601,2
selenium,5,1
sh,34439,182
shared-folders,312,3
shell,4917,30
shred,22,1
shutdown,979,2
sip,101,1
skype,952,1
sleep,1001,1
smb,294,3
smtp,356,2
snapshot,117,1
sorting,360,1
sql-server,609,1
squid,187,1
ssd,3153,2
ssh,5836,107
ssh-agent,89,5
ssh-keys,137,4
ssh-tunnel,268,2
sshd,185,2
sshfs,116,1
ssl,1218,6
ssl-certificate,211,1
stdout,67,1
storage,1215,4
su,7731,20
subnet,250,2
sudo,688,12
sudoers,100,3
svn,716,2
swap,280,1
sync,2351,6
syntax-highlighting,250,2
syslog,91,1
systemd,169,4
tab-completion,82,1
telnet,282,1
terminal,3498,15
text,2706,3
themes,361,1
time,1830,2
tmux,625,6
tomcat,192,4
tracking,150,1
tuleap,104,5
tunnel,666,3
uac,512,1
ubuntu,16703,165
ubuntu-10.04,897,3
ubuntu-10.10,256,1
ubuntu-12.04,801,16
ubuntu-12.10,94,1
ubuntu-14.04,453,7
ulimit,56,1
unicode,407,1
uninstall,643,3
unix,3217,15
updates,723,2
upstart,76,3
usb,6736,2
user,2352,7
user-accounts,1074,1
user-interface,288,1
vagrant,308,305
varnish,4,1
vbscript,227,1
version,1842,3
video,4377,2
video-streaming,346,1
vim,3268,8
virtual-disk,41,1
virtual-machine,2989,59
virtualbox,4366,186
virtualization,1480,31
visual-c++,51,1
visual-studio,1178,1
vlan,158,1
vmware,2753,17
vmware-fusion,353,2
vmware-player,357,1
vmware-workstation,589,3
vnc,791,1
voip,295,1
vpn,3321,12
vps,178,3
wan,159,1
web-hosting,111,2
web-services,330,29
webpage,114,1
webserver,793,5
wget,575,2
wiki,207,2
windows,97742,135
windows-10,5800,8
windows-7,41711,44
windows-8,15250,25
windows-8.1,5113,8
windows-error-reporting,55,1
windows-explorer,2233,1
windows-firewall,253,1
windows-installer,258,1
windows-server,2933,9
windows-server-2008-r2,766,1
windows-server-2012,766,4
windows-server-2012-r2,261,1
windows-server-2016,5,2
windows-services,163,1
windows-vista,3238,1
windows-xp,9065,5
wine,270,1
wordpress,171,2
x11-forwarding,106,1
xampp,280,15
xcode,268,1
xdebug,18,1
xen,176,5
xfce,230,2
xorg,1002,4
xvfb,22,1
yaml,4,1
yum,339,6
zend-server,2,1
zeroconf,33,1
zfs,179,1
zip,1200,3
zsh,733,1
