64bit,143,1
access-control,75,2
accounts,65,2
active-directory,86,1
administration,125,1
alsa,274,1
amazon,124,5
amazon-ec2,112,5
android,240,2
ansible,29,27
apache,938,8
apparmor,28,3
apt,1325,20
aptitude,141,2
ar,14652,82
arguments,157,2
arm,288,8
ascii-art,4,1
asterisk,35,1
audio,809,1
audit,80,1
augeas,2,1
authentication,421,6
authorization,31,1
autocomplete,336,3
avahi,28,1
awk,1968,2
background-process,188,1
backup,613,2
bash,8544,62
bind,224,1
block-device,147,2
bluetooth,182,1
bluez,36,1
boot,2243,5
bridge,161,6
btrfs,226,4
buildroot,50,1
busybox,155,1
byobu,34,1
c,45157,462
c++,135,2
camera,90,1
capistrano,1,1
centos,3271,71
cgroups,73,4
checkinstall,18,3
chef,13,13
chmod,233,1
chown,111,1
chroot,244,4
cloud,27,2
colors,381,1
command,3561,14
command-line,2622,11
command-substitution,127,1
compression,150,1
concurrency,39,1
configuration,621,15
configure,101,3
console,420,4
containers,17,5
coreos,9,5
cp,1806,5
cpu-usage,33,1
crash,115,1
cron,883,11
curl,264,3
cygwin,172,4
daemon,210,2
data-recovery,339,2
database,138,1
date,370,1
deb,5411,33
debconf,10,1
debian,5153,27
debugging,198,1
dependencies,197,1
deployment,26,2
desktop,661,3
device-mapper,22,1
df,321,1
dhclient,20,1
dhcp,273,1
dictionary,15,1
diff,235,1
directory,1115,8
directory-structure,274,3
disk,1410,8
django,18,1
dns,549,7
docker,146,142
download,139,1
dpkg,252,8
drivers,935,2
dynamic-linking,115,1
echo,150,1
emacs,466,2
email,706,3
emulation,16,1
environment-variables,567,10
error-handling,69,1
ethernet,264,2
executable,303,2
exit,107,3
expect,95,2
ext3,106,1
ext4,306,1
fail2ban,30,1
fedora,1892,17
ffmpeg,190,1
fhs,61,1
file-management,30,1
filenames,485,4
filesystems,1593,7
find,1234,3
firefox,282,2
firewall,443,8
firewalld,46,5
foreman,2,1
forwarding,265,7
g++,37,1
gateway,28,2
gcc,318,1
gedit,64,1
gem,1634,15
gentoo,362,3
git,370,11
github,35,2
glibc,115,1
glusterfs,7,1
gnome,1648,1
gnome-terminal,232,1
gnu-screen,477,2
gpt,96,1
graph,425,1
grep,1550,4
group,347,8
grub2,668,3
hadoop,18,2
hid,14,1
hiera,1,1
home,205,1
hostname,164,3
hosts,135,2
html,115,1
http,482,4
http-proxy,74,1
ifconfig,46,1
init,700,10
init.d,150,3
inode,109,1
inotify,66,2
interactive,20,1
ios,206,1
ip,9703,70
iphone,21,1
iptables,981,14
ipv4,35,1
ipv6,153,3
iscsi,39,2
iso,260,3
java,435,1
jenkins,21,21
json,42,1
kali-linux,538,2
kernel,2615,8
keyboard-layout,321,1
kill,290,4
kubernetes,2,2
kvm,307,5
ldap,188,2
libraries,275,1
linker,44,1
linux,17565,122
linux-kernel,1024,5
ln,158,1
load-balancing,36,1
locale,211,4
login,613,1
logout,36,1
logrotate,105,1
lvm,544,5
lxc,146,28
lxd,165,1
