action-interface,7,1
actioncable,46,2
active-directory,9196,28
addressbook,1657,1
add-in,1953,1
activejdbc,71,1
add-on,612,1
adjacency-list,342,1
activemessaging,10,1
activemerchant,274,2
activesupport,427,2
active-model-serializers,356,2
actionscript-3,39326,18
activerecord-import,13,1
acts-as-taggable-on,445,3
administration,1605,17
active-attr,10,1
adhoc,522,4
add,31866,65
actor-platform,2,1
adb,5848,51
actionscript,45538,20
activator,599,11
ad-hoc-distribution,402,2
actionview,396,3
admin-ajax,12,1
activemodel,479,1
activity-indicator,91,1
actionlistener,2555,0
addhandler,67,1
addthis,452,1
adbwireless,4,0
action,88582,86
activeresource,327,2
actionmailer,1794,10
activemq,3337,27
addclass,1193,1
actionbarsherlock,3356,4
action-hook,4,2
actioncontroller,315,3
activiti,639,1
admin,27080,161
activerecord,23315,50
adapter,15820,16
acm,521,2
acl,81514,159
adminer,28,3
adal,361,1
activeadmin,2455,30
actionpack,55,4
