adobe,6056,6
ag,494480,6230
afnetworking-2,1272,2
akka-cluster,171,7
after-effects,195,2
akka-monitoring,9,3
agent,39413,128
agvtool,12,2
advantage-database-server,258,0
airbrake,70,4
agents,548,1
aegir,11,2
afnetworking,4126,7
akka-http,152,4
adt,4232,6
ajaxcontroltoolkit,2161,1
aggregation-framework,1686,2
ads,20821,7
agile,1397,11
admob,4586,2
aggregate-functions,2545,1
adsense,1052,0
aether-ant,1,1
afp,47,1
ado.net,7814,2
aether,79,1
administrator,459,1
adobe-media-server,27,1
aerogear,18,5
aggregation,3199,5
ajax,146466,120
ajaxform,350,1
adventure,194,2
advertisement,240,1
advanced-installer,126,1
aggregate,5520,2
aes,3873,4
akeneo,16,2
aix,1058,4
aerospike,231,8
akka,4075,35
akavache,18,1
air,11462,20
aec,50,1
affiliate,220,1
advertising,732,1
affdex-sdk,10,1
adwords-api-v201109,30,1
aem,3471,59
advanceddatagrid,303,1
