alm,2786,10
akka-supervision,39,1
amazon-cognito,288,17
allegro,536,1
alchemy-spree,2,2
allure,129,19
alamofire,1213,5
alt,5934,320
altera,234,1
allocator,312,1
aliases,146,2
amazon-data-pipeline,137,2
amazon-appstore,100,1
amazon-cloudfront,1173,26
alljoyn,102,1
amazon-api,0,0
aldryn,4,1
albumart,87,1
albacore,36,1
akka-remote-actor,64,2
alexa-skills-kit,28,0
aliasing,984,1
alchemyapi,91,0
alsa,558,3
amazon-cloudwatch,260,10
alexa,122,1
algebra,2876,1
akka-stream,171,2
akka.net,136,1
allocation,2429,3
amazon,44072,2955
aleph,10,2
akka-persistence,80,2
alert,9361,3
amara,7,1
alpine,31,18
amazon-cloudsearch,188,1
akka-testkit,52,1
alfresco,2092,7
algorithm,63922,140
altova,93,1
alarm,3972,5
alchemy-cms,23,5
amazon-cloudtrail,13,1
amazon-cloudformation,428,36
alias,3760,16
aloha-editor,97,1
amazon-dynamodb,1983,29
alarms,810,1
alembic,212,2
