amazon-ebs,243,17
amazon-ec2,12289,1122
amazon-ec2-windows,14,1
amazon-ecs,63,42
amazon-elastic-beanstalk,204,22
amazon-elasticache,219,14
amazon-elb,450,33
amazon-emr,429,9
amazon-glacier,101,2
amazon-iam,462,17
amazon-kinesis,180,2
amazon-kms,4,1
amazon-lambda,65,3
amazon-marketplace,12,2
amazon-mobile-hub,0,0
amazon-mws,306,4
amazon-product-api,254,7
amazon-rds,959,58
amazon-rds-aurora,36,1
amazon-redshift,1049,4
amazon-route53,408,22
amazon-s3,12789,358
amazon-ses,420,15
amazon-simpledb,372,19
amazon-sns,518,16
amazon-sqs,698,21
amazon-sts,6,0
amazon-swf,144,4
amazon-vpc,280,40
amazon-web-services,24176,2196
amazonsellercentral,5,1
ambari,171,7
ambiguous,401,1
amd-processor,209,1
amf,580,3
ami,63185,157
ampps,49,2
amqp,1747,10
anaconda,1374,9
analysis,9276,50
analytics,14425,14
analytics-for-apache-hdp,14,2
analytics-for-hadoop,17,3
anchor,3332,2
android,818572,1197
android-2.1-eclair,97,1
android-4.2-jelly-bean,801,1
android-6.0-marshmallow,842,1
android-actionbar,8138,2
android-activity,21260,8
