apache-1.3,8,1
apache-abdera,20,2
apache-camel,4661,15
apache-cloudstack,80,6
apache-commons,3383,12
apache-commons-cli,69,1
apache-commons-dbutils,39,1
apache-commons-httpclient,379,4
apache-commons-logging,162,3
apache-commons-vfs,100,1
apache-drill,164,2
apache-felix,620,3
apache-flink,237,2
apache-fop,199,5
apache-hive,47,0
apache-httpclient-4.x,1370,6
apache-kafka,1915,64
apache-karaf,574,8
apache-mina,182,2
apache-modules,124,1
apache-ode,77,1
apache-pig,3856,20
apache-poi,4198,6
apache-spark,11171,108
apache-spark-sql,1338,6
apache-storm,1461,18
apache-tika,577,1
apache-tomee,106,1
apache-vysper,17,1
apache-zeppelin,126,1
apache-zookeeper,120,8
apache2,5457,79
apache2.2,242,2
apache2.4,271,2
apachebench,141,1
apacheds,174,2
apc,1202,10
apcu,5,1
apex-code,1202,1
api,213464,3629
api-key,452,3
api-management,115,1
apiconnect,0,0
apigee,567,2
apigen,24,1
apigility,189,6
apiman,3,1
apk,7794,12
apn,595,3
app-config,2276,2
angularjs-controller,965,1
angularjs-directive,13032,5
angularjs-e2e,377,8
angularjs-factory,338,2
angularjs-http,222,2
angularjs-model,76,1
angularjs-ng-click,687,1
angularjs-ng-repeat,4923,2
angularjs-ng-route,154,1
angularjs-ng-touch,39,1
angularjs-resource,263,2
angularjs-rootscope,57,0
angularjs-routing,1085,1
angularjs-scope,6693,9
angularjs-select2,103,1
angularjs-service,1280,7
animated-gif,808,2
animation,36684,20
annotations,10832,13
anonymous-function,1274,1
anova,385,3
ansi,12472,2333
ansi-c,145,1
ansi-colors,54,1
ansi-escape,168,2
ansible,2374,2319
ansible-2.x,45,45
ansible-api,3,3
ansible-awx,12,12
ansible-custom-module,1,1
ansible-galaxy,10,10
ansible-local,0,0
ansible-playbook,1022,993
ansible-pull,1,1
ansible-role,0,0
ansible-template,6,6
ansible-tower,4,4
ansible-vault,9,9
ant,47180,5681
ant-contrib,222,5
ant4eclipse,10,2
antbuilder,53,2
anti-patterns,313,3
antivirus,416,1
antlr,3680,3
antlr3,799,1
antlr4,1369,1
aop,3110,8
aot,100,0
apache,99386,1110
app-engine-flexible,0,0
app-engine-ndb,969,2
app-launcher,41,1
app-secret,23,1
app.yaml,128,1
apparmor,33,3
appcelerator,2418,5
appcelerator-mobile,646,1
appcelerator-studio,32,1
appcelerator-titanium,263,0
appcmd,113,3
appcompat,1819,2
appdomain,1132,1
appearance,573,1
append,6395,5
appfabric,766,77
appfabric-beta-2,10,1
appfabric-cache,159,22
appfog,190,6
appharbor,534,2
appium,1823,26
appium-ios,39,2
apple,22244,32
apple-mail,79,0
apple-push-notifications,4636,15
apple-watch,1332,4
apple-watch-complication,53,2
appledoc,40,1
applescript,5052,7
applet,7454,2
appliance,293,1
application-cache,180,1
application-data,41,1
application-loader,221,1
application-restart,145,3
application-server,445,2
application-settings,587,1
application.cfc,141,2
applicationcontext,548,2
apply,3162,2
appscale,16,1
appserver,138,4
appstore-sandbox,240,1
appv,65,2
appveyor,48,1
appx,74,1
apr,13730,230
apriori,173,1
apt,31112,157
apt-get,539,60
