bitnami,455,13
bits,1370,1
bittorrent,534,3
bitwise-operators,1326,1
biztalk,2231,1
biztalk-2013,241,1
biztalk-orchestrations,78,1
bjam,210,1
blackberry,10526,6
blackberry-10,1373,2
blackberry-eclipse-plugin,540,1
blackberry-jde,524,1
blackboard,47,0
blackfire,10,1
blade,1522,11
blame,102,1
blanket.js,42,0
blas,974,1
blazeds,610,1
blazegraph,11,1
blazemeter,28,1
blitz++,35,1
blktrace,7,0
blob,5807,5
blobstore,778,1
block,12500,23
block-storage,3,1
blockchain,69,1
blocked,137,1
blocking,2424,3
blogger,1559,3
blogs,2170,8
blogspot,227,1
bloom-filter,115,4
blowfish,356,1
blue-green-deployment,13,2
bluebird,864,2
bluedragon,29,1
bluehost,263,1
blueimp,718,1
bluemix-app-scan,3,1
bluemix-mobile-services,67,10
bluemix-plugin,25,12
bluemixtools,0,0
bluepill,20,3
blueprint,756,4
blueprint-css,213,2
blueprint-osgi,193,1
bluetooth,12507,6
bluez,329,2
bmp,668,1
bnd,166,3
bndtools,86,1
bokeh,518,3
bolt-cms,206,2
bonobo,65,1
boolean,6850,2
boolean-operations,238,1
boon,32,1
boost,22423,19
boost-build,108,1
boost-log,158,0
boost-test,186,8
boot,84799,1004
boot2docker,736,735
bootsfaces,39,0
bootstrap-datepicker,386,1
bootstrap-sass,217,11
bootstrapper,448,1
bootstrapping,756,24
border,4134,2
border-layout,303,1
borland-c++,184,1
bosh,226,19
bosh-deployer,9,3
bosun,28,2
botframework,1120,34
botnet,22,1
boto,1766,47
boto3,224,3
botocore,18,1
bots,2310,14
bottle,955,17
bouncycastle,1433,3
bounding,522,1
bower,2399,49
bower-install,271,6
box,95621,1180
box-api,2418,3
box2d,3112,16
boxen,28,13
boxfuse,11,2
boxstarter,5,0
boyer-moore,43,1
bpel,507,2
bpm,1527,9
brace-expansion,43,2
brackets,925,1
brakeman,34,2
branch,5928,59
branching-and-merging,857,4
branching-strategy,52,1
branding,131,1
breadth-first-search,590,2
break,6030,5
breakpoints,1664,2
breeze,2658,2
bridge,695,21
broadcast,7373,2
broccolijs,118,1
broken-pipe,139,4
broker,964,1
brooklyn,23,5
browser,37246,79
browser-addons,98,2
browser-cache,1567,20
browser-sync,341,9
browserid,37,1
browserify,1813,9
browserify-rails,13,1
browserify-shim,98,1
browsermob,83,2
browserquest,2,1
browserstack,124,3
brubeck,1,1
brunch,226,3
brute-force,502,3
bsd,1957,17
bsddb,28,1
bsdtar,6,2
bsod,148,1
bson,2101,3
bson-ext,6,1
btdf,7,1
btrfs,29,7
bubble-sort,697,2
buck,3143,194
buckets,90,1
buckminster,31,10
buffer,14747,28
bufferedimage,1526,1
bufferedinputstream,194,2
bufferedoutputstream,45,0
bufferedreader,1930,3
bufferedwriter,459,2
buffering,812,2
bug-tracking,513,2
bugzilla,469,7
build,54840,1318
build-automation,1589,109
