calculus,547,1
calendar,18082,6
calico,10,1
caliper,67,1
call,20553,17
callable,448,1
callback,10389,9
calloc,274,1
camunda,153,1
cancan,1392,2
canonicalization,113,1
canopy,435,1
canvas,28965,11
canvas-lms,36,1
cap,30706,3277
capacity,181,2
capacity-planning,45,1
capedwarf,10,3
capifony,161,60
capistrano,3426,3158
capistrano3,553,534
capitalization,236,1
cappuccino,149,1
capture,4878,5
capybara,3898,49
capybara-webkit,336,8
carbon,1503,8
cargo,388,7
carriage-return,433,1
carrier,2249,34
carrierwave,2192,33
cart,8532,120
cartalyst-sentinel,31,2
cartodb,73,0
cartridge,126,94
cas,58715,251
cascade,1486,3
cascading,985,2
case,9944,76
case-insensitive,649,2
case-statement,211,1
casperjs,1836,22
cassandra,9144,98
cassandra-2.0,1046,8
cassandra-2.1,108,2
cassandra-cli,145,2
casting,12471,5
castle-activerecord,474,1
castle-dynamicproxy,255,1
castle-windsor,2395,3
bytecode-manipulation,223,1
bytesio,23,0
bzip2,189,1
bzr-svn,13,1
c,6987172,37675
c#,937693,640
c#-2.0,1509,2
c#-4.0,22396,14
c#-5.0,685,1
c++,452647,424
c++11,28509,13
c++14,1838,0
c++builder,2205,2
c++builder-xe,392,1
c3p0,808,2
c89,342,0
c9.io,7,0
c99,1112,1
ca,616542,6242
ca-lisa,4,1
cab,2274,15
cabal,1177,12
cabal-dev,13,1
cabal-install,228,6
cac,35414,716
cache-control,736,7
cache-dependency,27,1
cache-manifest,242,2
cachefactory,29,27
cachemanager,4,4
caching,24925,487
caching-application-block,11,1
cactus,23,1
caddy,0,0
caddyfile,0,0
cadvisor,16,13
caffe,550,5
caffeine,4,1
cairo,757,2
cake-console,8,1
cakephp,28515,70
cakephp-1.2,310,1
cakephp-2.0,3631,9
cakephp-2.1,986,0
cakephp-2.3,1018,2
cakephp-3.0,1851,11
cakephp-3.x,141,1
calabash,530,20
calabash-android,136,4
calabash-ios,150,8
build-dependencies,99,2
build-management,20,2
build-numbers,43,7
build-pipeline,19,16
build-pipeline-plugin,7,6
build-process,2278,69
build-script,133,3
build-server,158,15
build-system,208,4
build-time,35,1
build-tools,138,2
build-triggers,11,4
build.gradle,1933,39
build.xml,331,22
buildbot,213,9
buildconfig,156,2
buildconfiguration,112,1
builder,20576,39
buildforge,12,1
buildhive,5,1
building,297,4
buildnumber-maven-plugin,54,3
buildout,327,7
buildpack,142,9
buildpath,321,1
buildr,330,5
buildroot,199,1
buildship,6,0
built-in,473,1
bukkit,800,2
bulbs,85,2
bulk,2833,6
bulk-load,171,1
bulkloader,160,1
bullseye,34,1
bundle,11783,430
bundle-identifier,94,3
bundle-install,48,6
bundler,2683,364
bundles,263,1
bundling-and-minification,743,0
bunyan,40,1
burn,2163,1
busybox,329,9
butterknife,144,1
button,52032,14
bxslider,784,1
byebug,52,2
byte,10846,4
byte-order-mark,359,1
cat,213302,1250
catalina,225,6
catalog,614,2
catch-all,52,1
cayley,11,1
cctray,25,3
cd,12039,105
cdi,2700,6
cdn,1649,15
cedar,120,3
ceilometer,35,25
celery,3433,58
celery-task,207,1
celerybeat,147,5
celeryd,90,1
celluloid,71,1
centering,1179,2
centos,8380,496
centos5,286,5
centos6,1210,84
centos6.5,165,19
centos7,662,79
cep,65276,193
ceph,80,14
certificate,10985,84
certificate-authority,106,0
cfc,585,5
cfdocument,75,1
cfengine,28,27
cffeed,9,1
cfftp,11,1
cfhttp,123,0
cfloop,81,1
cfml,443,1
cfnetwork,192,1
cfpdfform,12,1
cfthread,31,1
cfwheels,147,1
cgdb,23,1
cgi,7734,28
cgi-bin,203,2
cgimage,530,1
cgo,182,6
cgroups,84,17
chai,4096,18
chaining,943,1
change-management,66,1
changelist,376,3
changelog,150,10
changeset,225,3
