data-access-layer,1143,1
data-analysis,602,2
data-binding,15010,6
data-cleansing,168,1
data-containers,11,3
data-driven-tests,138,1
data-generation,88,1
data-migration,1135,3
data-mining,1869,2
data-modeling,1607,1
data-objects,59,1
data-persistence,98,1
data-protection,125,1
data-recovery,201,0
data-retrieval,222,1
data-science,80,1
data-structures,16020,25
data-synchronization,329,1
data-transfer,601,2
data-visualization,1887,1
databags,40,35
database,136196,300
database-administration,727,1
database-backups,737,8
database-cleaner,91,3
database-connection,4175,18
database-deadlocks,309,1
database-design,16425,7
database-installation,22,1
database-migration,1555,19
database-normalization,580,1
database-performance,1278,3
database-replication,919,6
database-restore,425,0
database-schema,2042,4
database-security,109,2
database-server,301,0
database-tools,16,1
database-versioning,104,2
databus,5,0
datacachefactory,3,2
datadirectory,47,1
datadog,13,2
dataframe,4028,2
datagrid,26961,8
datagridview,13231,3
dataimporthandler,307,1
datamapper,1425,3
datanucleus,779,4
dataservice,90,1
dataset,6611,6
datasource,5009,10
datastax,1678,19
datastax-enterprise,739,9
datastore,5080,9
datatable,19077,13
datatables,8186,6
datatemplate,2172,1
dataview,594,1
date,106559,62
datecreated,27,1
datepicker,12798,4
datetime,33096,14
db2,6192,16
db2400,272,1
dbaas,15,3
dbaccess,39,1
dbca,3,1
dbconnection,558,1
dbf,559,1
dbi,1632,3
dbmigrate,187,7
dbpedia,776,1
dbunit,493,4
dbus,1071,3
dcevm,28,1
dcom,1196,2
dcommit,27,1
dcos,0,0
dddd,15,1
ddl,6245,21
ddms,562,0
ddos,266,2
deadlock,2186,3
deb,45733,520
debconf,21,1
debian,5176,208
debian-based,127,6
debug-symbols,514,1
debugging,32925,123
declaration,3107,1
declarative-programming,35,2
declare,684,1
decode,2712,7
decompiler,369,2
decompression,449,0
decorator,2579,2
decoupling,236,2
dedicated-server,119,1
deep-learning,705,3
