desktop,5061,8
desktop-application,1803,1
destructor,2017,1
detach,351,1
detail,1913,1
details,738,0
determinants,87,1
dev-appserver,32,2
dev-appserver-2,8,1
dev-to-production,96,2
developer-tools,897,1
development-environment,1624,78
development-process,55,1
devenv,137,4
devexpress,4973,3
devforce,139,1
device,8095,27
device-mapper,27,16
devise,10926,69
devops,284,122
devpi,12,2
devstack,181,128
devtools,3377,5
dex,32773,53
dexguard,77,1
dexterity,253,1
df,69974,550
dfs,6532,60
dhclient,12,2
dhcp,421,14
dhis-2,11,1
dialect,90,1
dialog,28196,10
dialyzer,32,1
diazo,137,2
dictionary,28686,37
diff,6306,10
digest,870,3
digest-authentication,252,1
digital-ocean,783,122
digital-signature,1644,3
dih,131,1
dill,494,1
dimension,18678,15
dimensions,665,1
dinghy,2,2
dingo-api,33,2
dip,306,1
dir,77337,164
directive,15466,7
deep-linking,703,1
default,8435,9
default-parameters,158,1
default-value,1152,3
defaults,2640,3
defensive-programming,99,1
deferred,1814,3
defined,7908,13
definition,1557,5
definitions,72,2
deflate,515,1
defunct,18,2
deis,40,19
delay,4300,62
delayed-execution,160,1
delayed-job,1321,54
delegates,7955,3
delete-file,1184,2
delimiter,1408,2
delivery,361,53
delivery-pipeline,1,0
delphi,35334,25
delphi-2009,889,1
delphi-2010,1370,2
delphi-xe,6758,5
delphi-xe2,2413,3
delphi-xe5,773,1
deltaspike,61,1
delve,3,0
demo,622,9
denied,1383,26
dependencies,6265,68
dependency-injection,11451,16
dependency-management,1333,19
dependency-resolver,29,1
deployd,105,1
deploying,74,3
deployit,2,0
deployment,17825,1646
deployment-risk-analytics,0,0
deprecated,1317,5
deprecation-warning,87,1
depth-first-search,711,3
derby,1963,2
des,106266,124
deserialization,4392,6
design,80648,55
design-decisions,71,1
design-patterns,21158,18
design-principles,171,0
