directory,19836,65
directory-structure,799,3
directoryservices,574,1
disco,1501,38
disconnect,357,2
discourse,75,17
discovery,720,18
disjoint-sets,79,1
disk,1582,26
disk-partitioning,145,1
diskcache,30,1
diskimage,67,2
diskspace,385,14
disparity-mapping,84,1
dispatcher,1175,1
dispose,1489,2
disque,6,2
distcc,34,1
distinct,2953,5
distinct-values,203,2
distribute,3840,102
distributed,3659,101
distributed-cache,130,37
distributed-caching,285,23
distributed-computing,1299,13
distributed-filesystem,31,2
distributed-system,324,4
distutils,747,6
divide-and-conquer,293,0
division,1490,1
divshot,43,1
django,118055,915
django-1.5,253,1
django-1.7,382,9
django-1.8,273,2
django-1.9,74,1
django-admin,5598,11
django-allauth,556,1
django-authentication,833,4
django-cache,137,1
django-celery,790,9
django-class-based-views,641,0
django-cms,873,5
django-compressor,140,1
django-debug-toolbar,108,1
django-deployment,52,1
django-dev-server,32,1
django-extensions,38,1
django-facebook,90,1
django-filter,291,1
django-forms,7339,12
django-formwizard,199,0
django-grappelli,140,1
django-haystack,1040,7
django-i18n,136,1
django-imagekit,91,3
django-jenkins,16,16
django-manage.py,98,2
django-managers,136,1
django-media,72,2
django-migrations,367,7
django-models,13318,26
django-nose,52,0
django-openid-auth,16,1
django-orm,1298,2
django-oscar,119,3
django-postgresql,69,1
django-pyodbc-azure,12,1
django-queryset,2396,1
django-registration,490,2
django-related-manager,48,1
django-rest-framework,3927,14
django-serializer,109,1
django-sessions,222,1
django-settings,402,6
django-shop,11,1
django-signals,341,1
django-sites,67,1
django-south,1025,11
django-static-precompiler,0,0
django-staticfiles,402,6
django-storage,160,4
django-suit,21,1
django-syncdb,131,2
django-template-filters,137,0
django-templates,7064,16
django-testing,472,1
django-tests,95,1
django-tinymce,102,2
django-unittest,118,2
django-uploads,42,0
django-urls,1470,4
django-views,5295,12
django-wsgi,111,2
dll,18581,15
dll-dependency,7,1
dmg,193,1
dml,384,1
dns,9630,223
dnsmasq,94,6
