droid-fu,252,1
drone,223,17
drone.io,14,7
dronekit,74,2
dronekit-python,53,1
drools,2000,3
drools-guvnor,189,0
drop-down-menu,14688,7
dropbox,3241,12
dropbox-api,1502,2
dropwizard,871,9
druid,29,1
drupal,21853,72
drupal-6,3689,1
drupal-7,8371,30
drupal-8,232,6
drupal-theming,711,1
drush,187,21
dry,2443,107
dsc,2372,7
dsl,2234,104
dspace,209,1
dst,5057,11
dtd,1028,3
dtr,1205,6
dtrace,179,4
dulwich,26,1
dump,5911,25
dunit,78,1
duplicates,5639,4
duplicity,31,1
durandal,1397,1
duration,752,2
dvcs,857,5
dynamic,39693,57
dynamic-class-loaders,91,0
dynamic-forms,139,1
dynamic-image-generation,57,2
dynamic-linking,837,2
dynamic-programming,2040,26
dynamic-sql,1128,1
dynamically-generated,700,1
dynamics-crm,6566,1
dynamics-crm-2011,3967,1
dynatrace,25,1
dynatree,258,1
e-commerce,3547,8
e2e-testing,229,8
eaccelerator,53,1
each,16425,16
dom,67758,80
dom-traversal,197,1
dom4j,239,2
domain-aliasing,16,0
domain-driven-design,3813,2
domain-mapping,41,1
domain-masking,32,0
domain-name,314,7
domaincontroller,91,1
domdocument,1885,2
dompdf,800,2
domready,99,1
doorkeeper,169,3
dos,3010,5
dosbox,145,1
dot,8515,22
dotcloud,175,11
dotcover,118,2
dotfiles,98,2
dotfuscator,114,1
dotjs,6,1
dotnet-httpclient,746,1
dotnetnuke,2571,2
double-click,697,1
double-quotes,551,3
dovecot,158,2
downgrade,171,1
download,12484,27
download-manager,630,1
downloading,445,1
downtime,864,3
doxygen,1880,8
dozer,462,1
dpdk,43,1
dpkg,275,13
dplyr,2361,0
dql,839,1
drag,13453,8
drag-and-drop,8500,4
dragonfly-gem,113,1
drawer,4106,5
drawing,5578,2
drbd,19,2
dreamhost,414,25
dreamweaver,2113,1
dredd,15,1
drive,42583,390
drive-mapping,23,1
driver,28333,376
drivers,564,2
