python-tesseract,61,1
python-unicode,312,2
python-unittest,557,8
python-venv,40,2
python-webbrowser,68,1
python-wheel,126,2
python.net,91,0
pythonanywhere,223,1
pythonbrew,38,1
pythonpath,376,4
pytz,280,1
pyusb,115,1
pyvmomi,41,1
pywin32,710,2
pywinauto,124,1
pyxb,35,1
pyyaml,195,1
pyzmq,231,3
q,1917350,4067
qa,1273,13
qc,922,8
qdebug,58,1
qdockwidget,115,0
qemu,745,7
qgis,446,1
qmake,1059,1
qml,3909,3
qnap,37,0
qnx,321,2
qos,107,1
qpid,168,1
qprocess,314,2
qr-decomposition,21,1
qsort,391,1
qsqldatabase,60,1
qsub,215,1
qt,62461,75
qt-creator,2854,1
qt-quick,484,1
qt4,8474,2
qt4.8,264,0
qt5,4070,6
qt5.6,19,0
qtestlib,86,1
qtgui,446,1
qtkit,186,1
qtp,1216,8
qtquick-designer,5,1
qtwidgets,81,1
quagga,19,1
