quality-center,239,2
quandl,57,1
quartz-scheduler,2569,6
quartz.net,932,4
query-cache,104,1
query-optimization,3481,2
query-string,2827,2
querydsl,651,2
quest,33170,93
questasim,13,0
queue,11400,25
quickblox,1082,2
quickbooks-online,543,1
quickbuild,12,1
quicktime,611,1
qunit,971,13
quorrajs,0,0
quota,494,8
quotas,80,1
quote,2584,6
quotes,2108,5
quoting,173,1
r,7832914,43862
rabbitmq,4657,105
rabbitmq-exchange,95,2
rabbitmq-shovel,16,1
rabbitmqadmin,8,2
rabbitmqctl,51,4
rabl,5000,2
race-condition,1091,4
rack,11528,112
rack-middleware,54,0
rack-pow,92,2
racket,3691,2
rackspace,554,75
rackspace-cloud,347,55
rackspace-cloudfiles,39,4
rackup,33,1
ractivejs,326,1
rad,41749,492
radiant,62,1
radiobuttonlist,602,1
radosgw,5,0
raft,1449,5
raid,138,5
railo,425,4
rails-3-upgrade,86,2
rails-3.1,5436,105
rails-activejob,146,1
rails-activerecord,2925,8
