rails-admin,620,3
rails-console,299,4
rails-engines,617,4
rails-geocoder,283,2
rails-i18n,471,2
rails-migrations,693,10
rails-postgresql,430,3
rails-spring,9,1
railscasts,270,2
railstutorial.org,929,23
railtie,37,1
raiseevent,60,1
rake,4181,233
rake-task,460,11
rake-test,47,1
rakefile,178,9
raknet,20,3
rally,1537,5
ram,265469,624
ramaze,51,2
ramda.js,79,1
ramdisk,100,0
raml,108,1
rancher,9,7
random,19220,11
randomaccessfile,199,1
range,8181,4
range-query,33,1
ranking,879,2
ranorex,94,2
ransack,430,1
rapache,56,1
raspberry-pi,6025,34
raspberry-pi2,840,4
raspbian,1045,11
ratchet,340,3
rate,7151,35
rate-limiting,189,2
rational-team-concert,68,5
ravello,1,1
ravendb,1981,5
raw-sockets,275,1
razor,20899,8
rbac,386,3
rbenv,635,96
rbenv-vars,0,0
rcov,46,4
rcp,6562,20
rcpp,1010,1
rcs,542,3
