rcw,51,1
rdbms,1420,3
rdd,1009,2
rdf,2727,4
rdlc,1999,1
rdo,44082,81
rdp,89720,341
rds,17198,129
reachability,669,1
react-native,2850,4
react-os,7,1
react-rails,71,2
react-redux,26,0
react-router,1183,0
reactive-programming,1316,1
reactivemongo,312,2
reactjs,11500,15
reactor,228,5
read-eval-print-loop,776,1
read-the-docs,70,1
reader,9607,14
readerwriterlockslim,56,1
readfile,1107,1
readline,1356,2
readme,26,1
readonly,1128,3
ready-api,0,0
real-time,3075,3
real-time-data,91,1
rebase,7292,13
reboot,427,8
rebuild,220,4
recaptcha,1606,3
recipe,771,610
recommendation-engine,614,1
recompile,869,18
reconnect,127,1
recording,2268,3
records,1472,3
recover,1181,5
recovery,1036,5
recreate,69,1
rect,78278,150
recurly,92,2
recurrence,568,1
recursion,20587,23
recursive-datastructures,168,1
recursive-query,631,1
recycle-bin,82,1
recyclerview,4107,2
