resources,9043,45
response,7070,11
responsestream,35,1
responsive,10987,4
responsive-design,10667,3
resque,960,33
resque-scheduler,64,1
rest,68090,324
rest-assured,246,3
rest-client,481,1
rest-security,25,1
restangular,819,7
restart,1099,21
restcomm,68,9
resteasy,1547,12
restful-architecture,741,5
restful-authentication,973,7
restful-url,737,3
restheart,12,0
restify,378,4
restkit,2820,3
restler,243,1
restlet,1199,4
restore,1904,16
restrict,1005,2
restsharp,935,3
resttemplate,653,2
result,5701,6
resume,995,3
rethinkdb,675,10
rethinkdb-python,74,1
retrofit,2266,6
retrofit2,226,1
retrolambda,35,1
rets,92,1
return,9740,6
return-code,55,1
return-value,2679,1
reusability,616,4
revel,108,3
reverse,5980,60
reverse-engineering,1865,2
reverse-geocoding,527,1
reverse-lookup,27,1
reverse-proxy,1577,54
reverse-tunnel,3,1
revert,513,3
review,3313,16
review-board,149,1
revision,595,5
