visio,11330,246
visitor,660,3
visitor-statistic,83,2
visual-c#-express-2010,255,1
visual-c++,23080,6
visual-editor,69,1
visual-foxpro,754,2
visual-recognition,18,1
visual-sourcesafe,754,5
visual-studio,155499,234
visual-studio-2005,3113,1
visual-studio-2008,15582,8
visual-studio-2010,46387,47
visual-studio-2012,22347,47
visual-studio-2013,17659,37
visual-studio-2015,9956,27
visual-studio-code,216,1
visual-studio-cordova,959,2
visual-studio-debugging,1273,1
visual-studio-express,565,1
visual-studio-gallery,5,1
visual-studio-lightswitch,1040,1
visualization,9479,8
visualsvn,865,10
visualsvn-server,569,8
visualvm,609,7
vlad,22,2
vlan,52,3
vlc,2051,2
vm-implementation,271,1
vmc,2417,4
vmrun,23,2
vmware,2363,83
vmware-fusion,117,13
vmware-player,142,1
vmware-server,77,1
vmware-tools,81,1
vmware-workstation,239,9
vnc,578,26
vnc-server,147,9
voice-recognition,859,1
void-pointers,773,1
voip,1736,6
volojs,2,1
voltrb,80,2
volume,1742,120
volumes,333,44
vorbis,121,1
voting,417,2
vowpalwabbit,144,2
