socat,120,4
soci,14636,24
social-framework,162,1
social-networking,1855,4
social-stream,17,1
socialengine,256,1
socket-timeout-exception,124,3
socket.io,8968,84
socket.io-1.0,204,1
socket.io-java-client,16,1
socket.io-redis,41,1
socketexception,427,4
sockets,42230,142
sockjs,329,3
sockjs-tornado,6,1
socks,435,2
softlayer,359,16
software-design,795,2
software-distribution,445,5
software-engineering,1640,5
software-packaging,68,1
software-product-lines,18,1
software-quality,123,2
solaris,2365,20
solaris-10,234,3
sorl-thumbnail,200,2
sorting,38164,33
soundcloud,1946,1
source-code-protection,105,1
source-maps,459,4
source-monitor,25,1
sourceanalyser,1,1
sourceforge,178,1
sourcetree,866,6
space,19384,153
spacemacs,50,2
spaces,10574,29
spaceship-operator,24,1
spacing,768,1
spagobi,118,3
spam,1562,3
sparc,210,1
spark-cassandra-connector,250,3
spark-dataframe,698,1
spark-graphx,167,3
spark-java,167,6
spark-jobserver,67,10
spark-notebook,18,3
spark-streaming,1528,11
sparkle,75,1
splunk,465,8
spnego,202,1
spock,1030,15
spoon,247,10
spoon-gradle-plugin,6,1
spork,254,11
spotfire,369,1
spotify,1849,5
spray,959,10
spray-can,7,1
spray-client,65,2
spray-json,192,2
spreadsheet,10712,2
spree,1415,55
spree-auth-devise,49,1
spring,127420,713
spring-3,716,1
spring-amqp,516,1
spring-annotations,631,2
spring-aop,1206,6
spring-batch,2977,3
spring-boot,9778,166
spring-boot-actuator,108,2
spring-boot-docker-plugin,1,1
spring-boot-gradle-plugin,19,1
