spring-loaded,42,1
spring-mobile,27,1
spring-modules,12,1
spring-mvc,35287,124
spring-mvc-test,106,1
spring-profiles,94,1
spring-rabbit,210,1
spring-remoting,79,1
spring-rest,458,1
spring-roo,1167,3
spring-security,13384,50
spring-security-acl,62,1
spring-security-oauth2,758,4
spring-session,197,2
spring-social-facebook,139,1
spring-test,679,7
spring-tool-suite,597,3
spring-transactions,772,1
spring-websocket,474,3
spring-xd,518,3
spring4d,53,1
springjunit4classrunner,33,2
sprinkle,1,1
sprint,138,1
sprite,13809,4
