spring-jms,716,2
spring-insight,24,2
spring-data-jpa,2475,3
spring-gem,26,1
spring-cloud-config,31,3
spring-integration-sftp,19,1
spring-junit,36,1
spring-cloud-sleuth,4,1
spring-jpa,289,1
spring-data-mongodb,968,1
spring-el,411,1
spring-cache,162,10
spring-data-neo4j,1259,1
spring-cloud,945,45
spring-cloud-netflix,54,2
spring-cloud-dataflow,19,2
spring-data-redis,109,1
spring-boot-maven-plugin,41,1
spring-java-config,458,1
spring-jdbc,983,3
spring-data,8293,20
spring-integration,3136,12
spring-data-gemfire,69,5
spring-cloud-feign,13,1
spring-dsl,57,2
