svn-client,25,1
svn-externals,230,5
svn-hooks,197,4
svn-lock,8,1
svn-merge,105,1
svn-notify,4,1
svn-repository,53,1
svn-switch,15,1
svn-trunk,18,1
svn2git,52,1
svnant,52,2
svncommit,19,1
svnkit,280,11
svnserve,61,1
svnsync,85,2
sw-precache,6,2
sw-toolbox,6,1
swagger,2061,14
swagger-2.0,315,1
swagger-editor,97,1
swagger-ui,670,4
swampdragon,27,1
swap,1719,6
swapfile,43,1
swarm,249,153
sublimetext3,2978,18
submenu,998,1
submit,6835,2
subnet,352,8
subprocess,4657,23
subquery,5535,2
subrepos,171,2
subscribe,1789,5
subscription,1580,2
subset,2685,1
subshell,118,2
substance,53,1
substitution,1097,3
substr,5503,4
substring,4632,3
substrings,133,1
subtree,412,4
subversive,337,2
sudo,2051,102
sudoers,127,10
suds,570,4
suffix-array,107,1
sugarcrm,1253,3
suitecrm,127,1
sulu,22,1
string,132529,88
string-comparison,1111,2
string-concatenation,1052,2
string-formatting,2552,1
string-interpolation,287,1
string-length,458,3
string-matching,1060,2
string.format,351,1
stringify,319,2
stringio,187,3
stringtokenizer,441,1
stripe-payments,2126,5
stripping,53,1
strong-named-key,21,1
strong-parameters,687,3
strongloop,902,17
strophe,744,1
strpos,489,1
strtok,755,2
struct,66494,72
structure,25044,52
structured-data,120,2
struts,14017,14
struts-1,950,1
struts2,10293,9
static,21956,90
static-analysis,1139,22
static-code-analysis,240,12
static-content,154,2
static-files,329,10
static-ip-address,139,7
static-libraries,3029,2
static-linking,1062,7
static-members,1008,1
static-site,124,1
static-variables,455,1
staticfilehandler,15,1
statistics,7286,14
statlight,4,1
statsd,179,10
statsmodels,589,2
statsvn,10,2
status,12518,81
statusbar,2049,2
stax,2424,21
std,13339,33
stderr,761,5
stdin,2143,3
stdio,599,1
stdmap,515,1
ssdt,767,2
sse,52729,620
ssh,16524,1380
ssh-agent,122,23
ssh-keygen,39,2
ssh-keys,815,116
ssh-tunnel,246,11
ssh2-exec,33,1
sshd,177,14
sshfs,144,5
sshkit,31,28
sshpass,43,4
ssl,36792,470
ssl-certificate,4133,56
sslhandshakeexception,190,4
ssms,2998,2
ssmtp,41,2
ssp,6965,41
sspi,122,1
stability,171,2
stack,24818,1811
stack-level,12,1
stack-overflow,2677,3
stack-trace,1558,12
stackato,8,2
sprite-kit,8589,2
sprite-sheet,350,1
sprockets,622,35
sproutcore,256,1
spss,853,2
spyder,699,1
spymemcached,164,3
spyne,103,1
sql,938812,2610
sql-azure,2840,2
sql-insert,1859,1
sql-order-by,3976,2
sql-server,219280,124
sql-server-2000,2479,1
sql-server-2005,18118,4
sql-server-2008,54891,11
sql-server-2008-r2,9415,1
sql-server-2012,10410,9
sql-server-2012-express,360,1
sql-server-2014,1839,2
sql-server-ce,3644,1
sql-server-express,1381,1
sqlalchemy,8676,51
sqlalchemy-migrate,52,2
sqlanywhere,367,1
spring-boot-maven-plugin,41,1
spring-cache,162,10
spring-cloud,945,45
spring-cloud-config,31,3
spring-cloud-dataflow,19,2
spring-cloud-feign,13,1
spring-cloud-netflix,54,2
spring-cloud-sleuth,4,1
spring-data,8293,20
spring-data-gemfire,69,5
spring-data-jpa,2475,3
spring-data-mongodb,968,1
spring-data-neo4j,1259,1
spring-data-redis,109,1
spring-dsl,57,2
spring-el,411,1
spring-gem,26,1
spring-insight,24,2
spring-integration,3136,12
spring-integration-sftp,19,1
spring-java-config,458,1
spring-jdbc,983,3
spring-jms,716,2
spring-jpa,289,1
spring-junit,36,1
