xrdp,27,2
xsd,10599,10
xserver,321,7
xsl-fo,1050,5
xslt,26229,31
xslt-1.0,3259,2
xslt-2.0,2334,1
xssf,236,1
xstream,844,6
xterm,334,2
xtext,886,2
xtradb,34,2
xts,6108,1
xubuntu,97,1
xunit,1008,54
xunit.net,391,7
xvfb,305,59
xwiki,96,2
yahoo-oauth,52,1
yajl,60,2
yaml,3807,193
yaml-cpp,154,1
yandex,146,3
yandex-tank,12,2
yard,358,17
yarn,1460,29
yat,80,1
ycsb,93,1
yelp,251,1
yeoman,2300,34
yeoman-generator,724,9
yeoman-generator-angular,262,4
yepnope,138,2
yesod,989,17
yield,1131,1
yii,20347,49
yii-components,382,1
yii-extensions,831,2
yii2,6260,14
yii2-advanced-app,738,1
yo,108440,110
yocto,402,4
yosemite,2186,37
yourkit,77,1
youtrack,180,2
youtube,15825,9
youtube-api,7260,5
youtube-dl,169,1
youtube-javascript-api,674,1
yslow,210,8
yui,2799,6
yui-compressor,269,2
yum,1043,80
yuv,470,4
z-index,2777,2
zabbix,350,7
zap,213,4
zapier,102,2
zbar,408,1
zend-auth,197,1
zend-autoloader,87,1
zend-db,1296,1
zend-form,2064,2
zend-form-element,332,1
zend-form2,66,1
zend-framework,26368,82
zend-framework-modules,84,1
zend-framework2,7872,40
zend-guard,53,3
zend-inputfilter,50,1
zend-loader,31,1
zend-rest,53,1
zend-server,296,12
zend-studio,467,1
zendesk,163,1
zenoss,36,1
zentest,41,1
zephir,20,2
zeroclipboard,250,1
zerocloud,1,1
zeromq,1829,13
zerovm,2,1
zeus,90,4
zfc-rbac,21,1
zfcuser,195,3
zfs,92,5
zip,12672,48
ziparchive,395,1
zipfile,741,4
zipkin,14,3
zk,987,2
zlib,1263,6
zodb,161,1
zombie-process,197,2
zombie.js,190,4
zone,8627,21
zookeeper,1523,78
zope,724,1
zos,265,2
zsh,2090,30
zsh-completion,97,3
zshrc,212,2
zurb-foundation,4196,15
zurb-foundation-5,294,1
zurb-foundation-6,208,1
zuul,200,5
zypper,29,3
