flask-sqlalchemy,1625,17
flex,31922,25
flow,23060,328
fixture,1226,3
flow-router,89,0
flexmojos,86,3
floating-point,8368,3
floating-ip,7,6
flexslider,1019,1
fixtures,838,2
flot,1865,1
fiware-murano,2,2
flash-builder,3251,2
flask-security,119,1
flask-restful,222,3
fiware-wirecloud,91,4
flask-login,281,4
flask,12093,175
flexbox,2606,1
flash,40046,26
flexunit,120,5
flash-cs5,1839,4
fiware-health,4,1
flickr,1092,0
flex4,5201,4
flask-migrate,56,3
flat,3672,4
fiware-monitoring,2,1
flex-pmd,9,1
floating,9554,10
flexunit4,52,3
floating-point-conversion,226,1
flask-admin,223,1
flexbuilder,747,1
flash-media-server,430,4
flannel,20,18
flashdevelop,714,1
flanneld,6,4
fiware-orion,315,10
flat-file,475,1
flask-restplus,7,1
flash-player,1008,2
flex4.7,23,1
flex4.5,1411,1
flask-wtforms,529,4
fleetctl,9,4
fla,58798,240
fleet,24,11
fixed,2227,2
flex4.10,8,1
