formatter,3582,1
formatting,13670,5
formidable,138,1
forms,163104,70
forms-authentication,2896,1
formsets,58,1
formtastic,638,1
formula,9937,1
fortify,303,6
fortify-source,31,1
fortran,6457,3
fortran77,365,1
forum,990,1
forward,2800,109
forward-engineer,16,0
forwarding,1353,97
fosrestbundle,431,1
fosuserbundle,1741,7
foswiki,13,0
foundation,11590,23
foursquare,1376,1
foxpro,1061,2
foxx,37,1
fpc,185,1
fpga,1197,1
fputcsv,195,3
fqdn,80,3
fragment,32283,39
fragment-shader,627,1
frame,191048,422
framelayout,690,1
frames,4802,3
frameworks,9741,23
frank,69,3
fread,836,2
freebcp,5,1
freebsd,1271,10
freegeoip,8,2
freeipa,18,2
freemarker,1485,1
freepascal,755,3
freepbx,54,4
freeradius,152,1
freeswitch,327,3
freetds,389,1
freeze,1823,4
friendly-id,333,3
frisby.js,38,1
frontend,2344,4
fs,35314,396
