fsevents,115,1
fstream,3026,2
fsync,51,1
ftp,12559,80
ftp-client,506,0
ftplib,258,1
ftps,254,2
fts3,112,1
fuelphp,446,4
full-text-search,5213,6
full-trust,70,1
fullscreen,2624,3
func,72942,69
function,71526,62
function-pointers,2787,1
functional-programming,8112,4
functional-testing,1082,31
functools,77,1
funcunit,16,3
fuse,1772,33
fusebox,37,4
fusefabric,16,1
fuseki,141,2
fusion,13434,114
fusionreactor,14,1
future,1567,1
fxcop,662,12
fxcopcmd,38,2
g++,6278,7
g-wan,254,1
gae-datastore,3591,4
gae-module,66,2
galen,12,1
galera,97,4
gallery,5352,7
galleryview,108,1
gallio,200,4
game-engine,2107,1
game-physics,1649,1
game-theory,99,2
ganglia,142,5
garbage,7665,17
garbage-collection,7449,14
gas,710,2
gateway,3504,24
gatling,298,7
gaufrette,36,1
gcc,22826,61
gcc4,477,3
gcc4.8,88,1
