gccgo,26,2
gcloud,470,97
gcloud-cli,14,2
gcloud-java,6,0
gcloud-node,51,3
gcloud-python,33,3
gconf,22,1
gcov,290,15
gcovr,28,8
gcsfuse,8,2
gd,29361,66
gdal,756,1
gdb,6199,10
gdbserver,170,0
gdlib,130,1
gearman,423,9
gears,324,9
geb,6827,15
gedit,542,2
gem,52225,876
gem-bundler,16,3
gem-fury,3,1
gemcutter,11,1
gemfile,456,49
gemfile.lock,32,4
gemfire,143,13
geminabox,7,1
gemset,68,4
gendarme,25,1
generator,4272,15
generics,25332,13
genson,31,1
gentoo,221,5
genymotion,977,7
geo-replication,9,1
geocode,1523,3
geocoding,2832,1
geode,49,3
geodjango,489,3
geoip,482,5
geojson,1213,3
geokit,119,1
geolocation,7935,4
geometry,7426,3
geos,2612,7
geoserver,545,4
geospatial,1974,1
gerrit,902,130
gerrit-trigger,18,18
get,56067,163
