javafx-8,3174,5
javafxports,70,0
javah,157,1
javamail,2987,13
javascript,1074197,1033
javascript-events,12604,2
javascript-namespaces,115,1
javascript-objects,1408,2
javascriptserializer,304,1
javaw,79,1
javax.imageio,700,2
jax-rpc,158,1
jax-rs,4256,18
jax-ws,3418,4
jaxb,8309,8
jaxb2-maven-plugin,53,1
jaybird,64,1
jazz,129,5
jbehave,375,13
jbehave-maven-plugin,11,1
jbehave-plugin,21,1
jboss,15877,356
jboss-arquillian,639,12
jboss-cache,56,7
jboss-developer-studio,9,0
jboss-eap-6,358,21
jboss-forge,22,1
jboss-modules,29,1
jboss-tools,134,8
jboss5.x,877,9
jboss6.x,758,3
jboss7.x,3019,65
jbossfuse,318,8
jbossws,80,1
jbpm,887,5
jbuilder,224,1
jbutton,3454,1
jcache,56,10
jce,491,1
jclouds,196,85
jconsole,327,3
jcrop,491,1
jcs,68,7
jdbc,20506,82
jdbc-odbc,253,1
jdbcrealm,170,1
jde,1798,2
jdepend,20,1
jdk1.5,147,2
jdk1.6,471,2
