jdk1.7,30,0
jdk6,41,1
jdo,1596,3
jdom-2,124,1
jedi-vim,39,1
jedis,309,0
jeditorpane,452,1
jekyll,2513,24
jelastic,143,8
jelly,1168,106
jena,1414,1
jenkins,14699,14112
jenkins-2,0,0
jenkins-api,0,0
jenkins-build-flow,29,26
jenkins-cli,216,208
jenkins-docker,7,7
jenkins-groovy,5,5
jenkins-job-builder,12,12
jenkins-job-dsl,93,86
jenkins-mstest,3,2
jenkins-php,11,10
jenkins-pipeline,1,1
jenkins-plugins,2376,2290
jenkins-rebuild,1,1
jenkins-scriptler,59,53
jenkins-slave,6,6
jenkins-workflow,205,184
jenkinsfile,0,0
jenssegers-mongodb,41,1
jepsen,0,0
jeromq,37,1
jersey,7557,39
jersey-2.0,1154,8
jersey-client,454,2
jestjs,248,3
jetbrains,307,0
jetpack,109,1
jetty,5367,90
jetty-9,230,3
jface,1286,1
jframe,6633,1
jfreechart,2067,2
jgit,403,11
jgitflow-maven-plugin,9,2
jgroups,171,2
jhipster,630,17
jibx,169,1
jinja,2390,121
jinja2,2230,115
