jira,2960,75
jira-agile,127,1
jira-plugin,459,17
jira-rest-api,341,3
jira-rest-java-api,118,3
jira-zephyr,23,2
jison,89,1
jit,1904,2
jks,1043,1
jmagick,70,0
jmeter,4952,100
jmeter-maven-plugin,66,15
jmeter-plugins,370,15
jmh,126,1
jmockit,518,4
jms,5629,7
jmsserializerbundle,286,1
jmx,1592,19
jmxtrans,14,2
jna,1196,2
jnaerator,32,1
jndi,2200,5
jni,6327,10
jni4net,43,1
jnlp,1073,14
job-scheduling,553,4
jobs,1906,67
jodatime,2082,3
jodconverter,64,1
jogl,853,1
join,29542,18
jolokia,37,3
jomsocial,85,1
jonas,20,1
joomla,15778,11
joomla2.5,2705,1
joomla3.3,97,1
jooq,571,1
journal,136,2
journey,11,1
joyent,37,3
jpa,34045,59
jpa-2.0,2676,4
jpa-2.1,327,1
jpanel,5483,1
jpda,43,1
jpeg,3752,4
jplayer,744,1
jprofiler,289,3
jprogressbar,397,1
jpype,58,0
jq,747174,354
jqgrid,9730,3
jql,289,1
jquery,740660,349
jquery-animate,5209,2
jquery-chosen,915,2
jquery-datatables,2302,2
jquery-datatables-rails,15,1
jquery-deferred,885,0
jquery-file-upload,984,1
jquery-hover,491,1
jquery-masonry,1127,1
jquery-mobile,22297,7
jquery-plugins,12212,3
jquery-rails,9,2
jquery-select2,2067,2
jquery-terminal,39,1
jquery-ui,38705,17
jquery-ui-accordion,324,1
jquery-ui-dialog,1990,1
jquery-ui-droppable,453,1
jquery-ui-tooltip,170,1
jquery-validate,5594,4
jrebel,209,2
jruby,2583,63
jrubyonrails,330,8
jrun,61,6
js-test-driver,116,3
jsbuilder,7,1
jsch,856,9
jscoverage,28,3
jsdoc,577,1
jsf,40106,125
jsf-1.2,828,2
jsf-2,16279,59
jsf-2.2,1547,12
jsf-2.3,2,0
jsfiddle,1210,1
jsfl,151,1
jsfunit,32,1
jshint,759,11
jsjac,14,1
jslint,837,9
json,157510,426
json-api,196,0
json-ld,198,0
json-rpc,383,2
json-web-token,90,1
json.net,5331,5
