json4s,200,2
jsonobject,652,1
jsonp,3911,7
jsonpickle,37,1
jsonslurper,18,1
jsoup,3959,1
jsp,41096,67
jsp-tags,1216,1
jspm,262,1
jspx,189,1
jsr356,34,2
jsse,173,1
jst,6121,6
jstack,94,2
jstat,58,1
jstl,4401,2
jsunit,26,1
jsvc,52,1
jta,8352,4
jtable,6812,3
jubula,23,1
juju,32,16
julia-lang,1625,3
juniper-network-connect,17,1
junit,14123,375
junit-rule,49,1
junit-runner,60,1
junit3,143,1
junit4,2024,35
juno,653,16
jupyter,623,15
jupyter-irkernel,4,0
jupyter-notebook,190,5
jupyterhub,15,2
justboil.me,20,1
jvisualvm,230,2
jvm,7742,93
jvm-arguments,421,18
jvm-crash,177,1
jwplayer,1671,2
jwplayer7,65,1
jwrapper,58,1
jwt,1235,5
jython,2035,9
jython-2.7,71,1
kaazing,27,1
kafka-consumer-api,270,3
kafka-producer-api,90,2
kafkacat,1,1
kali-linux,207,1
kaminari,431,3
kanban,109,1
kannel,187,1
karaf,745,11
karma-jasmine,1494,15
karma-runner,2436,44
karma-webpack,0,0
katana,313,1
kdc,8,1
kde,606,1
kendo-asp.net-mvc,1525,1
kendo-dropdown,217,1
kendo-grid,4379,3
kendo-ui,10886,5
kerberos,1458,8
kernel,14307,79
kernel-module,1133,7
kestrel-http-server,70,3
kettle,777,1
key,63894,323
key-management,40,1
key-pair,71,3
key-value-observing,879,0
key-value-store,286,2
keyboard,15522,5
keyboard-layout,140,1
keyboard-shortcuts,3126,1
keychain,1178,12
keycloak,86,0
keyerror,167,1
keylistener,1284,1
keymapping,222,0
keystone,317,88
keystone.js,193,5
keystore,1528,8
keytool,673,3
keyvaluepair,177,0
keyword,3466,1
kibana,1401,32
kibana-4,466,10
kickstarter,16,1
kie,22510,13
kif,382,3
kif-framework,71,1
kill,1647,11
kill-process,397,1
kiln,71,2
kinect,2546,1
kinto,26,0
kinvey,113,3
