mailman-gem,20,1
main,19953,56
mainclass,50,1
mainframe,606,1
maintainability,241,2
maintenance,474,3
make-install,20,0
makefile,9468,43
malbolge,4,1
malformedurlexception,65,1
malloc,4879,1
mamp,2184,10
mamp-pro,219,2
man,192287,878
man-in-the-middle,121,1
manage.py,176,4
managed,6109,36
managed-bean,837,2
managed-c++,379,1
managed-vm,83,31
manager,22450,49
mandrill,805,2
mangodb,18,0
manifest,6151,35
manifest.mf,211,0
mantis,221,3
many-to-many,4771,5
many-to-one,552,1
map,148068,258
map-files,39,1
mapbox,1387,10
mapped-drive,104,1
mapper,5482,27
mapping,13010,10
mapr,8993,128
mapreduce,8714,123
maps,60492,32
maptools,87,0
marathon,214,125
margin,2894,5
mariadb,1414,35
mariasql,19,1
marionette,2179,3
markdown,3961,5
marker,6299,3
marklogic,1001,3
marklogic-8,71,0
marquee,509,1
marshalling,3148,1
marvinproject,3,1
lumberjack,79,2
lumen,396,6
lumen-5.2,13,0
luminus,30,0
luntbuild,10,1
lustre,11,0
lvm,4013,16
lwjgl,2289,2
lwp,382,2
lwp-useragent,157,2
lwrp,47,43
lxc,316,151
lxc-docker,6,5
lxd,11,3
lxml,2955,11
m2crypto,219,1
m2e,1604,16
m2eclipse,1046,12
m3u,296,0
mac-address,617,6
macbookpro,156,2
mach-o,217,1
machine-learning,9136,7
macports,905,2
macromedia,27,1
macros,8470,9
macruby,224,1
macvim,770,2
maf,193,1
magento,35553,90
magento-1.6,505,2
magento-1.7,3399,8
magento-1.8,953,2
magento-1.9,1906,3
magento-1.9.1,262,1
magento-2.0,119,3
magento2,311,6
magnolia,236,6
magrittr,85,1
mahout,1191,3
mahout-recommender,224,2
mail-form,64,0
mail-server,411,2
mailboxer,130,1
mailcatcher,30,3
mailchimp,1296,1
mailer,5714,24
mailgun,445,4
mailing,226,1
mailman,81,2
log-rotation,47,2
log4j,6642,34
log4j2,1062,3
log4net,2820,2
logary,3,1
logback,1580,10
logback-groovy,14,0
logcat,2228,1
logentries,40,5
logfile,490,2
logfiles,189,2
logging,21335,219
loggly,47,1
logic,15535,39
login,17803,38
login-control,322,1
logout,1334,4
logparser,193,7
logrotate,192,4
logstash,2458,68
logstash-configuration,232,5
logstash-file,45,1
logstash-forwarder,119,8
logstash-grok,312,5
lombok,265,3
long-integer,1457,1
long-long,145,1
long-polling,862,3
longtext,72,1
look-and-feel,775,1
loopback,1184,12
loopbackjs,941,9
loops,37604,46
lotus-notes,2415,1
lotusscript,697,1
lowest-common-ancestor,18,1
lru,639,1
ls,435243,5767
ls-remote,8,1
lsof,268,1
lstm,85,1
ltrace,34,1
lttng,32,1
lua,12754,23
luarocks,63,2
luasocket,106,1
lubridate,264,0
lucee,60,1
lucene,9376,9
luks,11,1
