openwebbeans,21,1
openwhisk,0,0
openxml,2426,3
openxml-sdk,880,1
opera,30571,27
operating-system,6629,17
operation,3015,6
operational,59,1
operations,645,2
operators,6884,3
opkg,21,0
ops4j,6,0
opscenter,196,11
opsworks,347,156
optimistic-locking,241,1
optimization,26030,41
optional,1876,3
optional-parameters,662,1
optionparser,63,1
options,2961,3
opus,365,7
oql,480,1
ora-12514,23,1
oracle,78768,133
oracle-adf,1493,1
oracle-coherence,200,34
oracle-soa,43,1
oracle-sqldeveloper,2560,2
oracle-xe,242,0
oracle10g,5600,6
oracle11g,11490,19
oracleclient,184,1
oraclejdk,13,1
orafce,1,1
orc,12508,124
orchardcms,2575,3
orchardcms-1.7,210,1
orchardcms-1.8,237,1
orchardcms-1.9,57,0
orchestration,188,22
order,19303,15
ordereddictionary,198,1
org-mode,1318,0
organization,1243,3
orientation,6343,2
orientdb,1278,5
orientdb-2.1,56,1
orika,80,1
orleans,42,1
orm,338151,668
opengraph,3082,4
opengts,19,4
openid,3162,9
openid-connect,353,1
openid-provider,92,1
openjdk,580,14
openjpa,898,3
openlayers,3335,1
openldap,927,18
opennebula,32,5
openni,460,2
opennlp,364,1
openoffice-calc,438,1
openpgp,157,3
openproject,27,1
openpyxl,556,1
openrefine,104,0
openresty,49,5
openscript,13,0
openshift,3379,3288
openshift-cartridge,88,85
openshift-client-tools,168,151
openshift-enterprise,23,22
openshift-env-variables,1,1
openshift-gears,7,6
openshift-origin,170,165
openshift-php-cartidges,16,15
openshift-web-console,2,2
opensips,67,1
opensolaris,78,2
openssh,477,20
openssl,7218,41
openstack,1509,1256
openstack-cinder,12,9
openstack-glance,14,12
openstack-heat,40,27
openstack-horizon,95,84
openstack-multi-region,0,0
openstack-neutron,86,76
openstack-nova,214,182
openstack-python-api,1,1
openstack-swift,186,128
openstacknetsdk,10,10
openstreetmap,1892,2
opensuse,479,13
opentok,268,1
opentsdb,138,1
openvpn,467,11
openvswitch,80,18
openvz,79,5
onchange,2219,1
onclick,10798,2
ondemand,109,1
one-time-password,64,0
one-to-many,2078,2
one-to-one,762,1
onedrive,714,2
onitemclick,827,1
online-compilation,21,1
onsen-ui,817,1
ontouchlistener,1012,1
oop,132446,559
oozie,1029,4
opa,6204,18
opcache,137,4
opcode,345,1
open-atrium,25,0
open-graph-protocol,196,0
open-source,3452,10
open-uri,233,1
openafs,22,1
openam,417,4
openbadge,14,0
openbsd,126,3
opencart,3692,11
opencart-module,85,1
opencart2.x,614,3
opencl,3432,4
openconnect,0,0
opencover,144,9
opencpu,138,1
opencv,29826,25
opencv3.0,719,2
opencv3.1,19,0
opendaylight,98,9
opendir,202,1
openedx,52,15
openejb,231,3
openembedded,122,3
openerp,3835,10
openerp-8,402,1
openfeint,111,1
openfire,1110,7
openflow,131,2
openfoam,18,1
openframeworks,415,1
opengl,38214,34
opengl-3,546,1
opengl-es,13349,24
opengl-es-2.0,3239,4
