,ID, PostTypeId , AcceptedAnswerId , CreationDate , Score , ViewCount ,AnswerCount , CommentCount , OwnerUserId , LastActivityDate , ParentId, LastEditorUserId , LastEditDate
,219,1,220,2016-04-22T14:10:31.367,9,117,1,0,128,2016-06-02T18:03:50.753,,276,2016-06-02T18:03:50.753
,551,1,,2016-05-18T20:25:18.790,14,198,3,8,611,2016-05-21T11:54:12.057,,611,2016-05-21T11:00:42.077
,24,1,28,2016-04-19T20:49:27.720,10,71,1,0,64,2016-04-20T11:31:10.203,,,
,34,1,43,2016-04-19T21:23:15.263,10,59,1,0,74,2016-04-19T21:36:52.620,,,
,44,1,,2016-04-19T21:42:46.023,13,119,1,0,74,2016-04-20T22:49:52.150,,,
,104,1,108,2016-04-20T07:50:00.810,13,127,1,1,74,2016-04-20T10:01:50.827,,,
,113,1,115,2016-04-20T10:54:14.743,15,96,1,0,69,2016-06-09T09:49:44.230,,276,2016-06-09T09:49:44.230
,151,1,,2016-04-20T23:08:30.637,16,223,4,0,141,2016-05-22T10:09:39.733,,,
,206,1,,2016-04-22T00:20:48.793,9,92,1,0,75,2016-05-26T18:37:59.180,,,
,234,1,,2016-04-23T09:19:18.660,11,101,1,0,141,2016-05-05T13:17:13.803,,141,2016-05-05T13:17:13.803
,249,1,,2016-04-23T17:13:44.987,7,57,1,1,75,2016-04-23T22:27:50.380,,12,2016-04-23T22:27:50.380
,256,1,258,2016-04-24T01:55:15.100,8,63,1,0,37,2016-04-24T03:46:32.537,,,
,259,1,,2016-04-24T13:14:14.350,9,84,1,0,141,2016-04-24T13:14:14.350,,,
,271,1,,2016-04-25T12:23:28.830,7,188,1,5,74,2016-05-10T12:03:29.697,,,
,302,1,,2016-04-26T10:03:53.437,8,60,2,4,74,2016-04-30T18:27:58.223,,,
,337,1,,2016-04-28T18:24:38.303,11,121,1,0,141,2016-04-28T18:24:38.303,,,
,343,1,344,2016-04-29T09:09:55.977,10,99,1,1,74,2016-04-29T09:59:22.480,,,
,372,1,388,2016-05-02T10:41:02.843,10,106,1,0,149,2016-05-03T18:14:28.457,,,
,380,1,383,2016-05-03T02:37:42.540,7,110,2,0,64,2016-05-07T22:36:46.203,,,
,427,1,428,2016-05-08T20:33:36.493,7,131,2,3,74,2016-05-09T19:14:09.287,,,
,433,1,434,2016-05-09T15:37:44.313,10,647,2,1,81,2016-05-11T04:11:57.450,,,
,436,1,,2016-05-09T19:56:34.543,6,102,3,3,184,2016-05-10T11:10:30.263,,,
,443,1,444,2016-05-09T22:21:09.583,12,446,1,0,64,2016-06-03T08:52:11.250,,276,2016-06-03T08:52:11.250
,603,1,604,2016-05-21T03:25:13.830,5,53,1,2,367,2016-05-21T04:13:33.123,,367,2016-05-21T03:53:28.877
,605,1,,2016-05-21T13:30:41.540,19,266,0,8,80,2016-05-23T18:25:35.890,,80,2016-05-22T11:14:01.713
,609,1,612,2016-05-23T03:15:32.800,10,96,1,0,64,2016-05-24T06:43:37.927,,,
,705,1,,2016-06-02T22:20:15.200,6,47,1,0,149,2016-06-03T09:55:41.897,,149,2016-06-03T09:55:41.897
,862,1,,2016-06-09T21:22:52.993,5,74,1,0,857,2016-06-10T05:47:40.100,,462,2016-06-10T01:37:37.010
,863,1,,2016-06-09T21:46:54.827,7,181,1,0,149,2016-06-09T21:46:54.827,,,
,113,1,115,2016-04-20T10:54:14.743,15,96,1,0,69,2016-06-09T09:49:44.230,,276,2016-06-09T09:49:44.230
,433,1,434,2016-05-09T15:37:44.313,10,647,2,1,81,2016-05-11T04:11:57.450,,,
,113,1,115,2016-04-20T10:54:14.743,15,96,1,0,69,2016-06-09T09:49:44.230,,276,2016-06-09T09:49:44.230
,113,1,115,2016-04-20T10:54:14.743,15,96,1,0,69,2016-06-09T09:49:44.230,,276,2016-06-09T09:49:44.230
,31,1,61,2016-04-19T21:13:21.580,12,123,2,0,37,2016-04-22T00:26:10.917,,56,2016-04-22T00:26:10.917
,37,1,38,2016-04-19T21:32:46.007,18,304,1,0,56,2016-05-09T23:13:35.647,,,
,52,1,230,2016-04-19T22:04:18.050,13,106,2,0,56,2016-05-04T03:02:02.383,,,
,85,1,86,2016-04-20T00:29:12.747,5,50,1,0,56,2016-04-20T00:29:12.747,,,
,89,1,118,2016-04-20T01:25:28.607,16,143,5,0,89,2016-04-26T04:05:02.687,,56,2016-04-22T00:25:43.793
,99,1,100,2016-04-20T06:48:50.093,9,73,2,0,132,2016-04-20T20:44:33.450,,132,2016-04-20T07:09:09.270
,143,1,144,2016-04-20T21:29:46.320,4,104,2,0,56,2016-05-11T15:34:22.237,,,
,152,1,,2016-04-21T00:36:01.803,5,65,0,0,56,2016-04-21T00:36:01.803,,,
,185,1,322,2016-04-21T15:44:08.597,6,92,1,8,173,2016-04-27T13:09:18.383,,173,2016-04-26T17:05:42.980
,204,1,,2016-04-22T00:20:15.120,3,57,2,0,56,2016-04-22T05:38:46.963,,,
,208,1,,2016-04-22T04:36:30.210,14,187,2,2,4,2016-05-07T08:50:17.410,,4,2016-05-07T08:50:17.410
,228,1,,2016-04-22T20:48:35.057,8,71,1,2,56,2016-04-25T22:35:28.033,,56,2016-04-22T22:37:28.507
,253,1,,2016-04-23T20:41:32.870,1,102,1,5,71,2016-04-25T22:40:44.653,,111,2016-04-25T22:40:44.653
,317,1,318,2016-04-26T22:15:49.507,9,171,1,0,56,2016-05-09T21:17:56.827,,,
,357,1,366,2016-04-30T02:09:03.747,9,72,1,0,71,2016-05-03T00:30:01.010,,,
,384,1,395,2016-05-03T13:58:49.783,7,104,2,0,175,2016-05-04T00:39:27.880,,,
,459,1,498,2016-05-11T07:19:24.937,3,191,3,1,393,2016-05-14T15:26:05.343,,130,2016-05-11T09:23:24.783
,474,1,485,2016-05-12T13:17:08.353,2,71,1,0,393,2016-05-12T19:24:41.757,,,
,494,1,,2016-05-13T16:02:41.443,10,195,3,2,56,2016-05-20T19:41:43.893,,,
,503,1,664,2016-05-14T17:10:04.840,12,179,3,4,31,2016-05-29T11:39:57.927,,31,2016-05-16T20:36:07.390
,516,1,519,2016-05-16T01:58:23.313,11,142,2,0,393,2016-05-26T14:34:43.600,,539,2016-05-26T14:34:43.600
,520,1,528,2016-05-16T15:01:02.777,8,84,1,0,393,2016-05-17T06:41:35.537,,,
,540,1,545,2016-05-18T13:31:16.770,8,237,2,0,393,2016-05-18T16:51:14.637,,393,2016-05-18T13:37:11.283
,546,1,547,2016-05-18T17:21:10.543,11,113,2,0,539,2016-05-26T15:51:40.540,,,
,550,1,632,2016-05-18T19:36:09.477,10,253,3,7,539,2016-06-06T14:25:23.673,,539,2016-05-26T11:32:15.303
,647,1,649,2016-05-26T22:06:02.137,4,100,1,1,539,2016-05-30T00:00:00.980,,,
,654,1,657,2016-05-27T16:22:42.533,23,1364,4,1,382,2016-06-08T19:31:46.667,,,
,707,1,,2016-06-02T23:08:38.247,2,44,0,1,621,2016-06-03T03:45:50.487,,621,2016-06-03T03:45:50.487
,713,1,,2016-06-03T11:15:03.083,6,151,3,7,832,2016-06-07T22:14:20.203,,832,2016-06-05T10:23:44.337
,872,1,876,2016-06-10T04:04:16.610,7,75,2,0,621,2016-06-10T07:43:03.560,,,
,223,1,229,2016-04-22T16:03:07.723,10,116,3,8,225,2016-04-23T09:22:02.327,,225,2016-04-22T18:26:48.113
,452,1,455,2016-05-10T16:17:57.047,8,277,3,2,379,2016-05-11T04:23:13.683,,4,2016-05-11T04:23:13.683
,532,1,534,2016-05-17T15:10:45.650,40,9460,7,12,563,2016-05-20T10:18:20.983,,,
,577,1,578,2016-05-19T21:36:13.930,5,73,2,1,621,2016-06-08T04:48:10.333,,621,2016-06-08T04:48:10.333
,605,1,,2016-05-21T13:30:41.540,19,266,0,8,80,2016-05-23T18:25:35.890,,80,2016-05-22T11:14:01.713
,30,1,,2016-04-19T21:13:01.830,5,37,1,0,74,2016-04-19T21:53:45.113,,74,2016-04-19T21:17:00.523
,39,1,,2016-04-19T21:33:18.533,8,73,1,0,74,2016-04-20T12:07:25.917,,,
,159,1,513,2016-04-21T08:25:15.243,10,142,2,14,74,2016-05-15T08:19:50.213,,56,2016-04-21T15:53:45.467
,161,1,608,2016-04-21T08:41:28.443,8,104,1,2,74,2016-05-23T08:44:37.253,,74,2016-05-13T11:19:53.453
,162,1,267,2016-04-21T08:53:39.513,5,81,1,1,74,2016-04-25T08:31:47.250,,,
,185,1,322,2016-04-21T15:44:08.597,6,92,1,8,173,2016-04-27T13:09:18.383,,173,2016-04-26T17:05:42.980
,197,1,233,2016-04-21T18:04:51.710,7,58,1,0,173,2016-04-23T14:47:24.590,,56,2016-04-23T14:47:24.590
,207,1,,2016-04-22T01:40:19.473,8,61,1,4,221,2016-04-22T08:18:31.073,,,
,257,1,,2016-04-24T02:01:01.433,12,69,2,0,37,2016-04-27T00:27:25.890,,37,2016-04-24T13:20:43.230
,263,1,268,2016-04-24T19:52:04.097,12,75,1,0,74,2016-04-25T11:53:20.023,,74,2016-04-25T11:53:20.023
,269,1,270,2016-04-25T09:31:44.043,14,75,1,3,105,2016-05-01T22:00:14.683,,79,2016-05-01T22:00:14.683
